State,All cancer types combined,Acute lymphocytic leukemia,Acute myeloid leukemia,"Anus, anal canal and anorectum",Bones and joints,Brain and other nervous system,Breast,Cervix,Chronic lymphocytic leukemia,Chronic myeloid leukemia,Colon (excluding rectum),Colorectum,Digestive system,Endocrine system,Esophagus,Eye and orbit,Gallbladder and other biliary,Genital system,Hodgkin lymphoma,Kidney and renal pelvis,Larynx,Leukemia,Liver and intrahepatic bile duct,Lung and bronchus,Lymphoma,Melanoma of the skin,Mouth,Myeloma,Non-Hodgkin lymphoma,Oral cavity and pharynx,Other and unspecified primary sites,Other digestive organs,Other endocrine,Other leukemia,Other nonepithelial skin,Other oral cavity,Other respiratory organs,Ovary,Pancreas,Penis and other male genital,Pharynx,Prostate,Rectum,Respiratory system,Skin (excluding basal and squamous),Small intestine,Soft tissue (including heart),Stomach,Testis,Thyroid,Tongue,Ureter and other urinary organs,Urinary bladder,Urinary system,Uterine corpus,Vagina and other female genital,Vulva
All U.S. combined,1762450,5930,21450,8300,3500,23820,271270,13170,20720,8990,101420,145600,328030,54740,17650,3360,12360,295290,8110,73820,12410,61780,42030,228150,82310,96480,14310,32110,74200,53000,31480,7220,2670,4690,7870,3760,5880,22530,56770,2080,17870,174650,44180,246440,104350,10590,12750,27510,9560,52070,17060,3930,80470,158220,61880,5350,6070
Alabama,28950,0,0,0,0,370,4240,240,0,0,0,2330,0,0,280,0,0,0,110,1180,270,840,600,4150,0,1420,0,480,990,880,0,0,0,0,0,0,0,340,910,0,0,4060,0,0,0,0,0,430,110,570,0,0,1100,0,760,0,0
Alaska,3090,0,0,0,0,50,470,0,0,0,0,290,0,0,0,0,0,0,0,150,0,90,90,400,0,120,0,0,130,110,0,0,0,0,0,0,0,0,100,0,0,460,0,0,0,0,0,60,0,90,0,0,150,0,110,0,0
Arizona,37490,0,0,0,0,490,5630,250,0,0,0,2840,0,0,390,0,0,0,140,1600,200,1110,930,4290,0,2340,0,570,1420,1010,0,0,0,0,0,0,0,510,1180,0,0,2800,0,0,0,0,0,490,200,1280,0,0,1780,0,1200,0,0
Arkansas,16580,0,0,0,0,240,2210,140,0,0,0,1440,0,0,200,0,0,0,70,790,140,560,320,2690,0,760,0,290,640,530,0,0,0,0,0,0,0,200,500,0,0,2680,0,0,0,0,0,230,70,380,0,0,740,0,510,0,0
California,186920,0,0,0,0,2530,27700,1590,0,0,0,15360,0,0,1530,0,0,0,850,7150,860,6030,5680,18990,0,10710,0,3060,8230,5540,0,0,0,0,0,0,0,2620,5900,0,0,24550,0,0,0,0,0,3540,1280,5760,0,0,7780,0,6230,0,0
Colorado,26800,0,0,0,0,400,4180,170,0,0,0,1940,0,0,280,0,0,0,140,1030,130,810,610,2690,0,1830,0,470,1130,790,0,0,0,0,0,0,0,370,810,0,0,2270,0,0,0,0,0,360,200,980,0,0,1210,0,830,0,0
Connecticut,21950,0,0,0,0,280,3490,120,0,0,0,1560,0,0,210,0,0,0,110,850,140,670,470,2580,0,930,0,380,950,620,0,0,0,0,0,0,0,280,640,0,0,1980,0,0,0,0,0,350,110,750,0,0,1160,0,720,0,0
Delaware,5870,0,0,0,0,70,930,0,0,0,0,440,0,0,60,0,0,0,0,240,0,210,130,840,0,400,0,120,240,170,0,0,0,0,0,0,0,80,190,0,0,700,0,0,0,0,0,80,0,150,0,0,300,0,220,0,0
District of Columbia,3190,0,0,0,0,0,510,0,0,0,0,260,0,0,0,0,0,0,0,120,0,80,100,340,0,80,0,80,120,80,0,0,0,0,0,0,0,0,110,0,0,300,0,0,0,0,0,60,0,140,0,0,80,0,120,0,0
Florida,131470,0,0,0,0,1720,19130,1040,0,0,0,11310,0,0,1330,0,0,0,510,5040,1060,4980,3110,18560,0,8360,0,2510,5420,4730,0,0,0,0,0,0,0,1670,4290,0,0,11860,0,0,0,0,0,2010,530,3050,0,0,6450,0,4520,0,0
Georgia,50450,0,0,0,0,700,8000,440,0,0,0,4450,0,0,460,0,0,0,240,2210,430,1800,1140,7070,0,3050,0,1180,2030,1660,0,0,0,0,0,0,0,690,1700,0,0,5400,0,0,0,0,0,810,220,1330,0,0,2040,0,1640,0,0
Hawaii,7120,0,0,0,0,80,1280,50,0,0,0,620,0,0,70,0,0,0,0,280,0,200,210,860,0,490,0,110,280,260,0,0,0,0,0,0,0,80,270,0,0,680,0,0,0,0,0,170,50,240,0,0,280,0,310,0,0
Idaho,8390,0,0,0,0,140,1340,50,0,0,0,630,0,0,100,0,0,0,0,360,0,340,170,1030,0,670,0,150,380,260,0,0,0,0,0,0,0,110,310,0,0,1370,0,0,0,0,0,110,60,300,0,0,460,0,310,0,0
Illinois,68560,0,0,0,0,910,11560,510,0,0,0,6030,0,0,730,0,0,0,330,2960,460,2380,1520,9130,0,3750,0,1240,2890,2000,0,0,0,0,0,0,0,860,2240,0,0,6990,0,0,0,0,0,1090,380,1960,0,0,3240,0,2700,0,0
Indiana,35280,0,0,0,0,490,5820,270,0,0,0,3360,0,0,440,0,0,0,170,1660,300,1230,780,5500,0,2120,0,620,1550,1110,0,0,0,0,0,0,0,430,1160,0,0,2530,0,0,0,0,0,500,190,950,0,0,1710,0,1330,0,0
Iowa,17810,0,0,0,0,250,2730,100,0,0,0,1540,0,0,200,0,0,0,80,800,130,730,350,2410,0,1070,0,330,830,560,0,0,0,0,0,0,0,220,600,0,0,1720,0,0,0,0,0,220,110,510,0,0,890,0,660,0,0
Kansas,15340,0,0,0,0,220,2420,110,0,0,0,1290,0,0,170,0,0,0,70,660,110,590,300,2000,0,870,0,300,650,440,0,0,0,0,0,0,0,170,490,0,0,2070,0,0,0,0,0,180,90,500,0,0,640,0,520,0,0
Kentucky,26400,0,0,0,0,340,3670,200,0,0,0,2320,0,0,270,0,0,0,110,1220,260,940,560,4960,0,1310,0,420,1050,830,0,0,0,0,0,0,0,280,790,0,0,2190,0,0,0,0,0,360,120,690,0,0,1130,0,890,0,0
Louisiana,26800,0,0,0,0,320,3770,230,0,0,0,2340,0,0,250,0,0,0,120,1340,270,830,730,3810,0,1020,0,510,1060,820,0,0,0,0,0,0,0,290,900,0,0,3380,0,0,0,0,0,400,110,650,0,0,1050,0,700,0,0
Maine,8920,0,0,0,0,120,1390,50,0,0,0,670,0,0,120,0,0,0,0,360,80,310,150,1400,0,510,0,150,400,310,0,0,0,0,0,0,0,100,300,0,0,660,0,0,0,0,0,100,0,220,0,0,560,0,320,0,0
Maryland,33140,0,0,0,0,420,5290,230,0,0,0,2620,0,0,290,0,0,0,160,1280,220,960,750,4040,0,1750,0,640,1280,890,0,0,0,0,0,0,0,430,1100,0,0,3810,0,0,0,0,0,530,140,1020,0,0,1390,0,1280,0,0
Massachusetts,40020,0,0,0,0,530,6610,210,0,0,0,2840,0,0,420,0,0,0,210,1570,260,1140,840,5150,0,1640,0,700,1720,1240,0,0,0,0,0,0,0,500,1270,0,0,2710,0,0,0,0,0,650,230,1520,0,0,2130,0,1380,0,0
Michigan,58360,0,0,0,0,760,9310,360,0,0,0,5040,0,0,680,0,0,0,260,2260,460,1930,1160,8070,0,3300,0,1040,2530,1720,0,0,0,0,0,0,0,730,1890,0,0,4580,0,0,0,0,0,900,280,1470,0,0,2930,0,2200,0,0
Minnesota,30560,0,0,0,0,440,4740,140,0,0,0,2300,0,0,320,0,0,0,150,1250,210,1360,530,3600,0,1640,0,630,1360,980,0,0,0,0,0,0,0,360,1020,0,0,1970,0,0,0,0,0,460,210,790,0,0,1400,0,1080,0,0
Mississippi,17050,0,0,0,0,210,2370,150,0,0,0,1680,0,0,170,0,0,0,70,830,170,520,370,2520,0,650,0,340,570,470,0,0,0,0,0,0,0,170,590,0,0,1930,0,0,0,0,0,280,60,330,0,0,630,0,450,0,0
Missouri,35480,0,0,0,0,450,5350,260,0,0,0,3110,0,0,390,0,0,0,150,1570,310,1240,770,5490,0,1800,0,640,1430,1090,0,0,0,0,0,0,0,420,1100,0,0,3290,0,0,0,0,0,430,170,890,0,0,1570,0,1180,0,0
Montana,5920,0,0,0,0,90,890,0,0,0,0,470,0,0,80,0,0,0,0,230,0,240,120,820,0,390,0,110,260,190,0,0,0,0,0,0,0,80,200,0,0,600,0,0,0,0,0,80,0,170,0,0,340,0,220,0,0
Nebraska,9780,0,0,0,0,150,1580,70,0,0,0,900,0,0,120,0,0,0,50,440,70,420,170,1290,0,580,0,190,460,290,0,0,0,0,0,0,0,120,310,0,0,750,0,0,0,0,0,120,60,290,0,0,470,0,360,0,0
Nevada,14810,0,0,0,0,210,2190,140,0,0,0,1340,0,0,160,0,0,0,60,600,80,530,340,1880,0,850,0,240,600,450,0,0,0,0,0,0,0,190,510,0,0,1180,0,0,0,0,0,220,80,550,0,0,770,0,420,0,0
New Hampshire,8610,0,0,0,0,110,1330,0,0,0,0,590,0,0,110,0,0,0,0,330,60,260,140,1140,0,450,0,130,370,270,0,0,0,0,0,0,0,100,250,0,0,1030,0,0,0,0,0,100,50,240,0,0,500,0,300,0,0
New Jersey,53400,0,0,0,0,680,8340,410,0,0,0,4250,0,0,470,0,0,0,260,2030,280,2070,1180,6070,0,2850,0,990,2330,1310,0,0,0,0,0,0,0,700,1720,0,0,5710,0,0,0,0,0,950,270,2000,0,0,2580,0,2130,0,0
New Mexico,9460,0,0,0,0,140,1440,80,0,0,0,830,0,0,90,0,0,0,0,430,50,360,390,1070,0,630,0,170,400,290,0,0,0,0,0,0,0,150,330,0,0,520,0,0,0,0,0,170,60,310,0,0,410,0,370,0,0
New York,111870,0,0,0,0,1420,17490,880,0,0,0,9150,0,0,1010,0,0,0,580,4880,710,4540,2630,13380,0,5150,0,2250,5030,2960,0,0,0,0,0,0,0,1510,3720,0,0,9700,0,0,0,0,0,2160,610,4090,0,0,5410,0,4500,0,0
North Carolina,58690,0,0,0,0,760,8870,410,0,0,0,4310,0,0,530,0,0,0,240,2400,470,1960,1330,8010,0,3550,0,1200,2220,1750,0,0,0,0,0,0,0,700,1860,0,0,7490,0,0,0,0,0,840,240,1380,0,0,2490,0,1960,0,0
North Dakota,3940,0,0,0,0,60,590,0,0,0,0,350,0,0,0,0,0,0,0,160,0,170,50,430,0,230,0,70,180,120,0,0,0,0,0,0,0,50,130,0,0,360,0,0,0,0,0,0,0,130,0,0,190,0,130,0,0
Ohio,67150,0,0,0,0,910,10240,430,0,0,0,6200,0,0,790,0,0,0,310,2770,570,2100,1330,9680,0,3750,0,1160,2850,1930,0,0,0,0,0,0,0,850,2150,0,0,5340,0,0,0,0,0,950,340,1850,0,0,3210,0,2600,0,0
Oklahoma,20540,0,0,0,0,300,2980,170,0,0,0,1840,0,0,210,0,0,0,90,950,160,780,490,3220,0,860,0,360,850,690,0,0,0,0,0,0,0,260,630,0,0,1800,0,0,0,0,0,270,110,520,0,0,910,0,630,0,0
Oregon,23320,0,0,0,0,330,3390,150,0,0,0,1620,0,0,260,0,0,0,100,900,120,670,560,2900,0,1780,0,350,1010,760,0,0,0,0,0,0,0,320,780,0,0,1950,0,0,0,0,0,300,150,650,0,0,1140,0,810,0,0
Pennsylvania,79890,0,0,0,0,1050,12070,540,0,0,0,6520,0,0,870,0,0,0,390,3190,610,3040,1710,10380,0,4340,0,1370,3430,2180,0,0,0,0,0,0,0,1020,2540,0,0,7470,0,0,0,0,0,1160,420,2780,0,0,4230,0,3280,0,0
Rhode Island,6540,0,0,0,0,90,1010,0,0,0,0,470,0,0,70,0,0,0,0,250,50,190,160,940,0,310,0,100,270,190,0,0,0,0,0,0,0,80,200,0,0,550,0,0,0,0,0,110,0,210,0,0,360,0,210,0,0
South Carolina,29830,0,0,0,0,390,4470,210,0,0,0,2370,0,0,280,0,0,0,120,1360,270,1040,600,4360,0,1810,0,680,1100,950,0,0,0,0,0,0,0,330,990,0,0,3130,0,0,0,0,0,440,110,720,0,0,1270,0,930,0,0
South Dakota,4770,0,0,0,0,70,750,0,0,0,0,430,0,0,60,0,0,0,0,200,0,200,80,580,0,250,0,90,210,150,0,0,0,0,0,0,0,50,160,0,0,400,0,0,0,0,0,60,0,130,0,0,240,0,160,0,0
Tennessee,37350,0,0,0,0,470,5580,310,0,0,0,3290,0,0,400,0,0,0,160,1700,360,1280,860,6210,0,2070,0,670,1550,1200,0,0,0,0,0,0,0,470,1220,0,0,3160,0,0,0,0,0,510,170,950,0,0,1670,0,1210,0,0
Texas,124890,0,0,0,0,1920,18750,1290,0,0,0,10950,0,0,1060,0,0,0,660,6280,820,4820,4310,14750,0,4270,0,2420,5430,3840,0,0,0,0,0,0,0,1650,3990,0,0,10660,0,0,0,0,0,2150,830,4130,0,0,4470,0,4090,0,0
Utah,11620,0,0,0,0,210,1660,70,0,0,0,770,0,0,90,0,0,0,70,430,50,480,210,780,0,1160,0,210,550,300,0,0,0,0,0,0,0,160,350,0,0,1080,0,0,0,0,0,130,120,540,0,0,450,0,420,0,0
Vermont,3920,0,0,0,0,60,620,0,0,0,0,280,0,0,60,0,0,0,0,140,0,130,60,510,0,250,0,60,170,120,0,0,0,0,0,0,0,50,120,0,0,210,0,0,0,0,0,50,0,100,0,0,230,0,130,0,0
Virginia,45440,0,0,0,0,610,7120,310,0,0,0,3540,0,0,450,0,0,0,210,1810,330,1400,990,5950,0,2810,0,810,1760,1290,0,0,0,0,0,0,0,570,1370,0,0,5440,0,0,0,0,0,680,220,1270,0,0,2010,0,1650,0,0
Washington,39160,0,0,0,0,570,5840,230,0,0,0,2800,0,0,400,0,0,0,190,1560,190,1370,990,4770,0,2790,0,620,1800,1210,0,0,0,0,0,0,0,540,1270,0,0,2470,0,0,0,0,0,560,270,1230,0,0,1910,0,1400,0,0
West Virginia,12440,0,0,0,0,160,1540,80,0,0,0,980,0,0,170,0,0,0,50,510,130,410,260,2010,0,650,0,200,470,370,0,0,0,0,0,0,0,140,380,0,0,1010,0,0,0,0,0,160,50,310,0,0,630,0,450,0,0
Wisconsin,34220,0,0,0,0,460,5270,190,0,0,0,2450,0,0,400,0,0,0,160,1410,240,1320,610,4150,0,1940,0,580,1480,990,0,0,0,0,0,0,0,440,1130,0,0,5260,0,0,0,0,0,460,190,890,0,0,1710,0,1290,0,0
Wyoming,2930,0,0,0,0,0,440,0,0,0,0,250,0,0,0,0,0,0,0,120,0,110,70,310,0,210,0,50,130,90,0,0,0,0,0,0,0,0,90,0,0,430,0,0,0,0,0,0,0,90,0,0,150,0,100,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
